Method,Accuracy (%),Precision,Recall,F1-Score,ROC-AUC,Delta vs Baseline (%)
Linear Probe (Frozen Features),50.93,0.5285,0.5093,0.493,0.9644,-24.07
Fine-Tuned (Full Model),3.12,0.0036,0.0312,0.0063,N/A,-71.88
