Model,Split,Test_Accuracy,F1_Macro,Precision_Macro,Recall_Macro,ROC_AUC,Inference_ms,Training_min,Parameters,GFLOPs
DenseNet121,90_10,73.57894736842105,0.7241679196067817,0.8146190675666919,0.7357894736842107,0.9929607396870552,14.026450859872918,43.00993721882502,7707494,0.015414988
ResNet50,90_10,70.3157894736842,0.6899126679439883,0.7880483183167766,0.703157894736842,0.9917715504978662,9.191327722449051,45.63577459653219,24786086,0.049572172
MobileNetV2,90_10,69.6842105263158,0.6797530367889101,0.7833020126883604,0.696842105263158,0.9907724039829302,5.425519692270379,33.0837255915006,3060070,0.00612014
InceptionV3,90_10,68.21052631578948,0.6640600152982931,0.7837394208782943,0.6821052631578948,0.9867712660028451,8.472966520409836,37.32716287771861,23001158,0.046002316
EfficientNetB0,90_10,45.26315789473684,0.442546214680872,0.5861448503855442,0.4526315789473684,0.9443570412517781,8.775428972746196,34.56790163119634,4851657,0.009703314
