Model,Split,Test_Accuracy,F1_Macro,Precision_Macro,Recall_Macro,ROC_AUC,Inference_ms,Training_min,Parameters,GFLOPs
ResNet50,30_70,69.37593984962406,0.6814379543050201,0.7670592161461071,0.6937593984962406,0.9892518129300083,3.7276674213266014,15.909087550640105,24786086,0.049572172
DenseNet121,30_70,65.05263157894737,0.6327730335852649,0.7520097779109731,0.6505263157894736,0.9888279646993933,3.990327576945599,16.81022965113322,7707494,0.015414988
MobileNetV2,30_70,61.10526315789474,0.5888876248348192,0.7079945968864744,0.6110526315789473,0.9855531425087815,2.2266739651672824,10.810612277189891,3060070,0.00612014
InceptionV3,30_70,59.46616541353384,0.5693140339550755,0.7069092659239322,0.5946616541353383,0.9821986384881122,2.9479670883121347,13.660018193721772,23001158,0.046002316
EfficientNetB0,30_70,39.203007518796994,0.36089102371373477,0.5453826680765225,0.3920300751879699,0.9346357070281884,2.6349204823486785,11.773550979296367,4851657,0.009703314
