Model,Split,Accuracy (%),F1-Score,Precision,Recall,ROC-AUC,Inference (ms),Parameters,GFLOPs
ResNet50,70_30,71.33333333333334,0.7014033417828377,0.7975158322957836,0.7133333333333333,0.9903683262209576,4.614630582039816,24786086,0.049572172
DenseNet121,70_30,70.03508771929825,0.6801875315682904,0.7927845923810115,0.7003508771929825,0.9925508771929824,6.3502841665033705,7707494,0.015414988
MobileNetV2,70_30,69.43859649122807,0.677267240577831,0.7822598849404434,0.6943859649122808,0.990347115536589,2.765411243104098,3060070,0.00612014
InceptionV3,70_30,65.47368421052632,0.6337266493840865,0.7578916488070055,0.6547368421052632,0.9857658447921606,4.0601575165464165,23001158,0.046002316
EfficientNetB0,70_30,48.63157894736842,0.47853570385065336,0.6109368812331912,0.4863157894736843,0.9445227754069857,3.627755600109435,4851657,0.009703314
