Model,Split,Test_Accuracy,F1_Macro,Precision_Macro,Recall_Macro,ROC_AUC,Inference_ms,Training_min,Parameters,GFLOPs
ResNet50,80_20,74.10526315789474,0.7277825220356441,0.8096067940769373,0.7410526315789474,0.9930726173541964,5.425537385438618,39.54928347667058,24786086,0.049572172
MobileNetV2,80_20,69.92105263157895,0.6805795136953837,0.7872923522039852,0.6992105263157896,0.9915485419630158,3.8634817223799853,25.921418237686158,3060070,0.00612014
DenseNet121,80_20,68.3157894736842,0.6658694348541679,0.7860276053944547,0.6831578947368421,0.99224893314367,8.499760251296195,38.54765754143397,7707494,0.015414988
InceptionV3,80_20,66.21052631578948,0.6441135174106943,0.7625077919854706,0.6621052631578948,0.986155689900427,5.219481556039108,32.989828221003215,23001158,0.046002316
EfficientNetB0,80_20,44.36842105263158,0.4296829178863027,0.5661498179841058,0.4436842105263158,0.9362588904694169,5.281882223330046,27.3813352227211,4851657,0.009703314
