Model,Split,Test_Accuracy,F1_Macro,Precision_Macro,Recall_Macro,ROC_AUC,Inference_ms,Training_min,Parameters,GFLOPs
ResNet50,40_60,71.5,0.7041536410189817,0.7978547844130752,0.7150000000000001,0.991574837995891,3.4697636805082626,21.53179348707199,24786086,0.049572172
DenseNet121,40_60,65.52631578947368,0.6392124307876844,0.7559077189029303,0.6552631578947369,0.9896061363995576,4.627885358375416,22.800579035282134,7707494,0.015414988
MobileNetV2,40_60,60.578947368421055,0.580678580022038,0.7257033659126196,0.6057894736842107,0.9848313971866602,2.2004061623623494,13.957662423451742,3060070,0.00612014
InceptionV3,40_60,59.078947368421055,0.5670671612141054,0.717606128843558,0.5907894736842104,0.9822442152678996,2.796036506953992,17.77448912858963,23001158,0.046002316
EfficientNetB0,40_60,46.43859649122807,0.4416624915346489,0.5715375616246184,0.4643859649122806,0.9468417812549393,3.0851868997540386,15.16902418533961,4851657,0.009703314
