Model,Split,Test_Accuracy,F1_Macro,Precision_Macro,Recall_Macro,ROC_AUC,Inference_ms,Training_min,Parameters,GFLOPs
ResNet50,60_40,75.0,0.73793152711978,0.8178272457681951,0.7500000000000001,0.9926262446657184,4.091649306447882,30.37995964686076,24786086,0.049572172
DenseNet121,60_40,70.17105263157895,0.6801614303771691,0.7953188548063448,0.7017105263157896,0.9929808321479373,5.134895161578529,29.38615452448527,7707494,0.015414988
MobileNetV2,60_40,68.26315789473684,0.6590062285514392,0.7712626486626087,0.6826315789473683,0.9909556899004268,2.561114461798417,20.885295963287355,3060070,0.00612014
InceptionV3,60_40,65.01315789473684,0.6265760374427507,0.7544398551571273,0.6501315789473684,0.9865071479374111,3.357188576146176,25.47112989028295,23001158,0.046002316
EfficientNetB0,60_40,43.03947368421053,0.41575429989638085,0.5790538218256698,0.4303947368421053,0.9330899982219062,3.3416766241977087,22.2691471974055,4851657,0.009703314
