Model,Split,Test_Accuracy,F1_Macro,Precision_Macro,Recall_Macro,ROC_AUC,Inference_ms,Training_min,Parameters,GFLOPs
ResNet50,10_90,58.356725146198826,0.562013099696271,0.6793956047273382,0.5835672514619884,0.9791795268953163,3.6900124494095294,6.610845422744751,24786086,0.049572172
DenseNet121,10_90,56.70175438596491,0.5449712762729861,0.6768437455919564,0.5670175438596491,0.9806304989199724,3.553547677938004,8.253003819783528,7707494,0.015414988
InceptionV3,10_90,52.070175438596486,0.49714207620068807,0.614256743477434,0.5207017543859649,0.9693588377851534,2.482546965281169,6.054852334658305,23001158,0.046002316
MobileNetV2,10_90,43.72514619883041,0.4031134437750243,0.5793280711871373,0.4372514619883041,0.965559766784328,1.9170496198866103,4.545681166648865,3060070,0.00612014
EfficientNetB0,10_90,41.93567251461988,0.3888099896084656,0.5337941470403293,0.41935672514619887,0.9502311486925523,2.2295021871377156,5.5163480321566265,4851657,0.009703314
